Fertigungsverfahren,Firma (Fertiger),Teile / Komponenten (ct8),Email,Webseite,Notizen
Fräsen / Drehen,MB Stock,"Motorwellen, Bremse, Getriebegehäuse",,,
Fräsen / Drehen,Alphatech,"Anschweißteile, Kleinteile",,,
Fräsen / Drehen,Stubai KSHB,Rodends,,,
Fräsen / Drehen,Resch,"Akkukreuz, Rocker, Steering Rodend",,,
Fräsen / Drehen,Lugauer,"Planetcarrier, Motorendplates",,,
Fräsen / Drehen,Fabrication Express,Motorendplates,,,
Fräsen / Drehen,Behensky,Rodends,,,
Fräsen / Drehen,Ceratizit,"Radnabe, Felgenform",,,
Fräsen / Drehen,WF Mechanik,Motorgehäuse Nachbearbeitung,,,
3D-Druck,Trivion,"Wishbone-Aufnahme, Lenkungshalter",,,
3D-Druck,Monalab + Materia,Motorgehäuse,,,
,Azubi Werkstatt,,,,
,China 3D Druck,,,,
Fräsen,Fertigungstechnik Feuerstein,,,,
Alles,Eigenfertigung,,,,
,,,,,
,,,,,
,,,,,
